dataset,image,method,height,width,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count,pred_skeleton_pixels,gt_skeleton_pixels,skeleton_overlap,pred_skeleton_components,gt_skeleton_components,component_ratio,pruned_pred_skeleton_pixels,pruned_gt_skeleton_pixels,pruned_skeleton_overlap,pruned_pred_skeleton_components,pruned_gt_skeleton_components,pruned_component_ratio
HRF,03_g.jpg,clean_recovery,1066,1600,98617,257857,0.49512166385206213,0.32901109143443,0.8948659967348429,0.89445563518718,0.34224007880336776,0.32251469460771787,0.19226081657525898,0.6240316466128235,0.9919830918258133,0.21744873930273964,594,5461,0.7592592592592593,0.09357260574986266,143,54678,25422,0.2830619148768783,20141,9665,2.0839110191412313,29786,22496,0.2756045519203414,11017,8536,1.2906513589503281
HRF,03_h.jpg,baseline,1066,1600,180045,293222,0.6191895906539014,0.4484247703108837,0.8138021050292983,0.9038376197515002,0.4996930653225201,0.5077059630436537,0.34021844922677624,0.6295147573786893,0.9949876297840594,0.4253938205665607,299,5553,0.9163879598662207,0.10606879164415631,25,64074,30938,0.3946279656086366,23911,11481,2.082658305025695,37575,28615,0.3687576445919972,13812,10540,1.3104364326375713
HRF,03_h.jpg,multiscale_line,1066,1600,180045,297803,0.6265130334332256,0.45614778202030115,0.8313977061290233,0.9029113994579022,0.5026443655705282,0.5076545987865151,0.3401723209477652,0.632016008004002,0.9949428080242745,0.4241874832124631,299,5499,0.8996655518394648,0.10583742498636116,30,63563,30938,0.4125670696231172,23760,11481,2.069506140580089,37454,28615,0.39157784378822297,13809,10540,1.3101518026565464
HRF,03_h.jpg,connected_recovery,1066,1600,180045,314481,0.6263290504442638,0.4559527524745479,0.8601627370935044,0.8953738147756063,0.4924558240402441,0.5016573723823265,0.33480818281193064,0.6435217608804402,0.994564771866089,0.4110429447852761,299,5479,0.8929765886287625,0.10695382369045446,32,65069,30938,0.41418320511991724,23745,11481,2.0681996341782076,39452,28615,0.39954569281845187,14070,10540,1.3349146110056926
HRF,03_h.jpg,clean_recovery,1066,1600,180045,302714,0.6290840771482251,0.4588786713043688,0.843389152711822,0.9011074658075258,0.5016219930363314,0.5063644706915127,0.33901474674075655,0.6348174087043522,0.9948567030646879,0.4211469534050179,299,5495,0.9130434782608695,0.10646041856232939,26,63401,30938,0.41686599004460534,23605,11481,2.056005574427315,37370,28615,0.3965053293727066,13694,10540,1.2992409867172676
HRF,04_dr.jpg,baseline,1066,1600,96319,348302,0.36619502902471995,0.22413631708203474,0.8452018812487672,0.8341538861143579,0.23373107246010646,0.26946150045874795,0.15570962479608483,0.6411418975650713,0.9890771308126108,0.17057588348300048,859,6821,0.8346915017462165,0.0928016419879783,142,75033,23754,0.27157531363138837,27162,9389,2.892959846629034,42155,20479,0.2534791737877826,14747,8136,1.8125614552605702
HRF,04_dr.jpg,multiscale_line,1066,1600,96319,356478,0.3671888285478923,0.22488137940735692,0.8630799738369377,0.8301433994436025,0.23320092684541543,0.2652582159624413,0.15290933694181327,0.6451721242653232,0.9887205857693813,0.16694911571720333,859,6801,0.8323632130384168,0.09263343625937362,144,76095,23754,0.2877831102130168,27241,9389,2.901373948237299,43369,20479,0.2766248351970311,14963,8136,1.839110127826942
HRF,04_dr.jpg,connected_recovery,1066,1600,96319,374860,0.35831817631940305,0.21826286382099633,0.8764210591887375,0.819519400278758,0.22519340553806755,0.25813729718968775,0.14819612175701932,0.653232577665827,0.9880598595589078,0.1608501488587496,859,6651,0.8242142025611175,0.0917155314990227,151,78031,23754,0.2905194914540709,27195,9389,2.8964745979337523,46291,20479,0.28131256409004346,15354,8136,1.8871681415929205
HRF,04_dr.jpg,clean_recovery,1066,1600,96319,358962,0.3675400466964358,0.22514490842648555,0.8686448156646145,0.8289329209752678,0.23308038176742943,0.2649111347932208,0.15267871294975432,0.6470193115029387,0.9886558663720953,0.16655139621336562,859,6751,0.8277066356228172,0.09272700340690268,148,75438,23754,0.28563610339311274,26935,9389,2.868782617957184,43046,20479,0.27525758093656916,14734,8136,1.8109636184857423
HRF,04_g.jpg,baseline,1066,1600,110018,279220,0.4958303146147087,0.32963722074195534,0.8771110181970223,0.8854825386598746,0.34559845283289164,0.33906958320496455,0.20414436377126505,0.6058508965083359,0.992637305339675,0.23540915480046445,458,5972,0.7816593886462883,0.08824514400535834,100,60326,28248,0.3086236193712829,23022,10952,2.102081811541271,32711,25287,0.29691145647961403,12575,9900,1.27020202020202
HRF,04_g.jpg,multiscale_line,1066,1600,110018,284720,0.4953260137103598,0.3291915845051452,0.888600047264993,0.8828277080087391,0.3433618994099466,0.34074844976367025,0.20536274304829605,0.6179616231519346,0.9924825304459283,0.2352272046937676,458,5963,0.7816593886462883,0.08821063223209794,100,60802,28248,0.3088360237892948,23001,10952,2.100164353542732,33283,25287,0.29960058528097444,12606,9900,1.2733333333333334
HRF,04_g.jpg,connected_recovery,1066,1600,110018,313397,0.4740550051368043,0.31066323277223,0.9122234543438347,0.8664838284713665,0.32023599460109703,0.33128088795268573,0.1985240569014905,0.6431267694243473,0.9916203813229664,0.2231012658227848,458,5940,0.7685589519650655,0.08552188552188553,106,62674,28248,0.30058765222316625,22924,10952,2.0931336742147555,35564,25287,0.29493415589037847,12752,9900,1.2880808080808082
HRF,04_g.jpg,clean_recovery,1066,1600,110018,292174,0.4920286828181565,0.32628517347244984,0.8993528331727535,0.8788974806684959,0.33865094087769615,0.34068669527896994,0.20531788319279914,0.6242529097200378,0.9923654194046522,0.2342698618817141,458,5948,0.7751091703056768,0.08691997310020175,103,60801,28248,0.3039507221750212,22886,10952,2.089663988312637,33414,25287,0.2943409657136078,12538,9900,1.2664646464646465
HRF,04_h.jpg,baseline,1066,1600,160707,297365,0.6023332576538186,0.43095627834909844,0.8584318044640246,0.8968155076112068,0.46392816908513107,0.4363301328678111,0.2790423618433294,0.6805324459234608,0.994401376347934,0.32110484619227747,267,5703,0.8726591760299626,0.08469226722777486,34,64194,29814,0.4109478768363856,24538,11791,2.0810787889067934,37464,27719,0.3866661856488329,14222,10876,1.3076498712762046
HRF,04_h.jpg,multiscale_line,1066,1600,160707,301238,0.6067518860470402,0.43549449661593154,0.8720404213879918,0.8957241698939667,0.46522351097803066,0.4349460292983809,0.2779112014286594,0.6826501285735894,0.9943331004497381,0.31914291775687714,267,5672,0.8726591760299626,0.08550775740479549,34,63864,29814,0.421815254578386,24343,11791,2.064540751420575,37404,27719,0.402359392474476,14129,10876,1.2990989334314087
HRF,04_h.jpg,connected_recovery,1066,1600,160707,317599,0.6028400229142014,0.4314753018989331,0.8971046687449831,0.8877410927488182,0.4539403461597801,0.4278978572428925,0.2721819693550303,0.6932385418242324,0.9939805378375022,0.30945307224848073,267,5638,0.8913857677902621,0.08495920539198297,29,65187,29814,0.41289327161736095,24432,11791,2.0720888813501825,39131,27719,0.40015873588513295,14442,10876,1.327877896285399
HRF,04_h.jpg,clean_recovery,1066,1600,160707,306627,0.607116109677447,0.4358698624455021,0.8827431287996167,0.8933492481356314,0.4626565827536388,0.4330802654825001,0.276389566065334,0.68597791559522,0.9942336295290906,0.3164247837008094,267,5671,0.8838951310861424,0.08587550696526186,31,63830,29814,0.4180586301737439,24296,11791,2.0605546603341534,37404,27719,0.3995454381471193,14067,10876,1.2933983082015448
HRF,05_dr.jpg,baseline,1066,1600,105986,295935,0.47162502083742824,0.3085793913584226,0.8942501839865643,0.8742465369770457,0.3202662746886985,0.3312472808808273,0.1984999197818065,0.6913942442022911,0.9895351151231541,0.21779694582581524,710,6288,0.8056338028169014,0.11148218829516539,138,64846,28544,0.32062780269058294,24701,10836,2.27953119232189,35098,24879,0.3130752843763817,13282,9482,1.4007593334739505
HRF,05_dr.jpg,multiscale_line,1066,1600,105986,300057,0.474319222348372,0.3108902132715192,0.9085822655822468,0.8726192693987425,0.32092902348553776,0.3309524600511611,0.19828821656050954,0.6958647666946074,0.9894244254440245,0.21710325589504423,710,6239,0.8014084507042254,0.11187690334989582,141,64607,28544,0.3237808295964126,24547,10836,2.2653193060169805,35238,24879,0.32014952369468225,13286,9482,1.4011811854039231
HRF,05_dr.jpg,connected_recovery,1066,1600,105986,318680,0.46258000405024186,0.3008806996584417,0.9267356065895496,0.8621798758950597,0.30821199949792893,0.32833644978290494,0.19641299814203922,0.7236658284436993,0.9886866905081245,0.21233859397417504,710,6193,0.7746478873239436,0.10624899079606007,160,66053,28544,0.31985706278026904,24450,10836,2.2563676633444074,37177,24879,0.3168535712850195,13430,9482,1.4163678548829362
HRF,05_dr.jpg,clean_recovery,1066,1600,105986,306520,0.47091193825059513,0.3079691418895995,0.9164134885739627,0.8690977948430059,0.3168700247944669,0.33067663747581094,0.1980902232002515,0.7042469963677005,0.9892313072804371,0.21606446358921608,710,6260,0.795774647887324,0.11070287539936102,145,64560,28544,0.31786014573991034,24433,10836,2.254798818752307,35129,24879,0.31186944812894407,13132,9482,1.3849398860999789
HRF,05_g.jpg,baseline,1066,1600,111394,246884,0.5559705033521456,0.3850132595232757,0.8940876528358799,0.9076104342851551,0.403412128773027,0.3832698373683995,0.23706481528404197,0.6632638593506309,0.9925347959167453,0.2695010945961516,568,5030,0.7376760563380281,0.10337972166998012,149,51925,27594,0.33152134521997534,19561,10437,1.874197566350484,28581,24486,0.3192028097688475,10788,9271,1.16362851903786
HRF,05_g.jpg,multiscale_line,1066,1600,111394,252308,0.5539370143689064,0.3830656201515013,0.9043036429251127,0.9049219486063909,0.3992501228657038,0.3805316842020721,0.23497321959928585,0.6717708776407203,0.9922810496265337,0.26544904476441256,568,5011,0.7429577464788732,0.10417082418678907,146,52427,27594,0.33735594694498805,19551,10437,1.8732394366197183,29214,24486,0.32924936698521606,10856,9271,1.170963218638766
HRF,05_g.jpg,connected_recovery,1066,1600,111394,277131,0.5297985972588637,0.36035783687260375,0.9239276801263981,0.8907224035036877,0.37137671353980606,0.36616789811755096,0.22411598945550404,0.6991351198071742,0.9911989482775573,0.24803822937625755,568,4962,0.7676056338028169,0.10298266827891979,132,54429,27594,0.33271725737479163,19623,10437,1.8801379706812302,31719,24486,0.3301478395818018,11135,9271,1.2010570596483658
HRF,05_g.jpg,clean_recovery,1066,1600,111394,258891,0.5484802246917915,0.37786617448965165,0.9116020611523062,0.901302592011321,0.39223843239046546,0.3777909504050583,0.23288672350791717,0.6777257904437828,0.9920685150307881,0.2618891080429542,568,5030,0.7411971830985915,0.10238568588469185,147,52323,27594,0.3310139885482351,19403,10437,1.8590591166043882,29128,24486,0.32230662419341666,10669,9271,1.1507927947362744
HRF,05_h.jpg,baseline,1066,1600,153834,286410,0.6030655727278509,0.43170642870151155,0.8629301714835472,0.9009760492239165,0.4634894033029573,0.401581782232222,0.25123699027469715,0.5885291766586731,0.9960496202507827,0.30477077512159784,195,5605,0.8717948717948718,0.06494201605709188,25,61180,28805,0.42155875716021524,22474,10961,2.050360368579509,34719,27254,0.3998312174359727,12926,10341,1.249975824388357
HRF,05_h.jpg,multiscale_line,1066,1600,153834,289481,0.604234009677092,0.43290495245360106,0.8706332800291223,0.8997606597902004,0.46266594353342705,0.4007597340930674,0.2505938242280285,0.5903277378097522,0.9960108103276734,0.3033477100020538,195,5591,0.8666666666666667,0.06474691468431408,26,61388,28805,0.4202048255511196,22405,10961,2.0440653225070706,35062,27254,0.4007852058413444,12933,10341,1.2506527415143602
HRF,05_h.jpg,connected_recovery,1066,1600,153834,312038,0.5925876635642409,0.42104765477966183,0.8972983865725392,0.8878677584120286,0.44236599388536013,0.40121060596091845,0.25094650205761315,0.6093125499600319,0.9957979437797102,0.299068170671898,195,5538,0.8615384615384616,0.06356085229324666,27,62553,28805,0.4082277382398889,22450,10961,2.0481707873369217,36744,27254,0.39590518822925075,13138,10341,1.2704767430615995
HRF,05_h.jpg,clean_recovery,1066,1600,153834,296156,0.6028178403964533,0.4314525749223022,0.8816711520210097,0.8965533463163905,0.4579714744931725,0.4007853225915646,0.25061383456100245,0.5915267785771383,0.9959972856574989,0.30306132896488175,195,5579,0.8769230769230769,0.06524466750313676,24,61447,28805,0.4143030723832668,22369,10961,2.0407809506431893,35202,27254,0.3959418800909958,12915,10341,1.2489120974760661
HRF,06_dr.jpg,baseline,1066,1600,128703,332516,0.441369501256453,0.2831777651035653,0.7908440362695508,0.8536797267037733,0.30610256348566683,0.3503602363798268,0.2123859063696143,0.6354115689537047,0.987996812519649,0.24185977199910588,753,6996,0.848605577689243,0.12449971412235564,114,73748,37506,0.26449101477097,27925,14279,1.9556691645073185,39742,32780,0.23093349603416718,14599,12388,1.1784791733936066
HRF,06_dr.jpg,multiscale_line,1066,1600,128703,340014,0.4425612896481246,0.2841596826292675,0.8058708810206444,0.8501512781113795,0.3050403806902069,0.3501556306366224,0.21223555211558306,0.6441225408632671,0.9877366943044728,0.24042817477714454,753,6967,0.8366533864541833,0.12343906990096168,123,74684,37506,0.2696901829040687,27986,14279,1.959941172351005,40857,32780,0.2395057962172056,14813,12388,1.195753955440749
HRF,06_dr.jpg,connected_recovery,1066,1600,128703,356437,0.4361215319289277,0.27887175431659417,0.8219699618501511,0.8410504934691359,0.29679859273868875,0.34577542579700465,0.20902568562288412,0.6587060781051189,0.9870353778467756,0.234413096482062,753,6805,0.8220451527224436,0.11961792799412196,134,76876,37506,0.2743827654241988,28039,14279,1.9636529168709294,44230,32780,0.25140329469188527,15462,12388,1.2481433645463351
HRF,06_dr.jpg,clean_recovery,1066,1600,128703,343625,0.44206991751494723,0.28375465785332415,0.8111776726261237,0.8482944669182578,0.30382248090214625,0.35011762218169323,0.21220762576097404,0.6482333365958697,0.9876175471855032,0.2398247392815759,753,6927,0.8286852589641435,0.12328569366248016,129,74168,37506,0.2702500933184024,27717,14279,1.9411023180895022,40579,32780,0.24106162294081757,14657,12388,1.183161123668066
HRF,06_g.jpg,baseline,1066,1600,116457,269251,0.5375050556379437,0.3675260948491037,0.8901139476373253,0.8957985530565846,0.3849939275991547,0.3277553845527462,0.195997273081418,0.6050811785929044,0.9918278840788535,0.2247473337428109,564,5385,0.774822695035461,0.10789229340761375,127,55934,28719,0.32595146070545633,21238,11304,1.8788039631988676,30855,25444,0.31249017450086464,11893,9960,1.1940763052208836
