method,height,width,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count,pred_skeleton_pixels,gt_skeleton_pixels,skeleton_overlap,pred_skeleton_components,gt_skeleton_components,component_ratio
baseline,1066.0,1600.0,131517.51111111112,298536.5333333333,0.5291001985913651,0.3632572901411401,0.8673096766559515,0.8829919389465245,0.38522779801163853,0.37656819384264933,0.23592906926498608,0.6495837853181262,0.9917314677909148,0.26993935599305474,509.1333333333333,5830.2,0.8210097654366362,0.10394713080634674,96.4888888888889,63873.02222222222,30528.31111111111,0.3613905820942928,24077.044444444444,11733.466666666667,2.0789622622057373
connected_recovery,1066.0,1600.0,131517.51111111112,322690.73333333334,0.5186976228871478,0.3539246745371618,0.8978412990053455,0.8702477048116342,0.36914972058853984,0.370654139208495,0.23135761438716812,0.6726661694188382,0.9909982826152637,0.26022700298441304,509.1333333333333,5753.288888888889,0.8082697635473688,0.10153668286488106,103.55555555555556,65587.66666666667,30528.31111111111,0.3610056681153913,23994.555555555555,11733.466666666667,2.0722291827052373
multiscale_line,1066.0,1600.0,131517.51111111112,303044.4888888889,0.5301768150477929,0.36434475339370564,0.8781519236938586,0.88102648567883,0.3843570033295899,0.37638994754828814,0.23579801785324503,0.6558235961873315,0.9915999463850015,0.2686523381648458,509.1333333333333,5807.7555555555555,0.8169884849790944,0.1039200554671294,98.44444444444444,64115.6,30528.31111111111,0.3653502094566792,24022.355555555554,11733.466666666667,2.0745218055269166
