dataset,image,height,width,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count
AFIO,IM000210.png,1000,1504,113109,188827,0.47673016798261886,0.3129650164155415,0.6362977305077403,0.915984789606087,0.3811478231396993,0.37529870456546344,0.23099551014088868,0.37748260594560407,0.9966492769509958,0.3731399274728023,150,3012,0.78,0.0750332005312085,33
AFIO,IM000333.png,1000,1504,119330,197943,0.46015261304932975,0.29883001195369174,0.6117237911673511,0.9097647815002853,0.3687778805009523,0.36498316498316496,0.22322899505766064,0.3444915254237288,0.9974307244208107,0.3880668257756563,120,3663,0.8083333333333333,0.05896805896805897,23
AFIO,IM000389.png,1000,1504,99007,183825,0.42271030152175143,0.2679978839204856,0.6037754906218752,0.9117098804050981,0.32518971848225214,0.2697332901414534,0.15589116325511732,0.254845949806162,0.9979247534685834,0.2864678899082569,95,3605,0.7263157894736842,0.03938973647711512,26
AFIO,IM000390.png,1000,1504,120654,174792,0.48716178252540226,0.32201842662239744,0.596457639199695,0.9256679095468523,0.4117179275939402,0.27140870256308364,0.15701149425287356,0.2254125412541254,0.9982375796093301,0.34098851722416373,107,3116,0.7009345794392523,0.05006418485237484,32
AFIO,IM000678.png,1000,1504,94078,181072,0.4571179356714519,0.29627535781251474,0.6684665915516912,0.9161769232624216,0.3473093576036052,0.3272082118869598,0.19560606060606062,0.2936092790539004,0.9985309445233171,0.3694905552375501,82,2459,0.6585365853658537,0.03822692151281008,28
AFIO,IM000679.png,1000,1504,98933,173277,0.44250394915690094,0.28411240524004283,0.6087655281857418,0.9195412033732199,0.3475764238762213,0.37329286798179057,0.2294776119402985,0.32374974691233044,0.9986464860335904,0.4407386990077177,84,2295,0.6428571428571429,0.037037037037037035,30
AFIO,IM000715.png,1000,1504,68165,184766,0.36647939556637976,0.22434941718622933,0.6799237145162473,0.9035968617563996,0.2508416050572075,0.3845465927383295,0.23804251550044286,0.3783878915874692,0.9988841954782938,0.39090909090909093,46,2809,0.5869565217391305,0.0177999288002848,19
AFIO,IM000716.png,1000,1504,62302,179722,0.33281823290252205,0.1996292422762938,0.6464479470964014,0.9032758594379683,0.2240961039828179,0.3718074656188605,0.22835595776772247,0.41788573005796303,0.997995837046289,0.33488166334881664,76,2758,0.7236842105263158,0.03335750543872371,21
AFIO,IM000938.png,1000,1504,76292,159065,0.37938111039824607,0.23409643860900206,0.5851858648351073,0.9198575619104187,0.2806714236318486,0.34961832061068704,0.211840888066605,0.33116413593637023,0.9984418452232922,0.370250606305578,76,2674,0.631578947368421,0.029917726252804786,28
AFIO,IM001031.png,1000,1504,92125,180056,0.41711214228766885,0.26351338804916996,0.6161736770691995,0.9126756972111554,0.3152630292797796,0.2584769316286826,0.14842004468560485,0.22425850012056908,0.9985871948784314,0.3050180387012135,69,2869,0.4927536231884058,0.020913210177762286,35
AFIO,IM001032.png,1000,1504,92125,180056,0.41711214228766885,0.26351338804916996,0.6161736770691995,0.9126756972111554,0.3152630292797796,0.2584769316286826,0.14842004468560485,0.22425850012056908,0.9985871948784314,0.3050180387012135,69,2869,0.4927536231884058,0.020913210177762286,35
AFIO,IM001034.png,1000,1504,75954,150355,0.339173431016884,0.20421965625498856,0.505292677146694,0.9215879600517071,0.2552558943832929,0.31446073881566733,0.18656387665198237,0.22460885706709097,0.9994874115884975,0.5241336633663366,44,2878,0.6818181818181818,0.02050034746351633,14
AFIO,IM001069.png,1000,1504,101960,161837,0.45132431377157434,0.29142596980437463,0.5838466065123578,0.9270291860431942,0.36783306660405224,0.3690244430023794,0.2262599469496021,0.33139083139083136,0.9984041119470101,0.4163006344558321,95,2812,0.6842105263157895,0.0430298719772404,30
AFIO,IM001070.png,1000,1504,109268,176840,0.43771582758958155,0.28017683038690594,0.5730589010506278,0.9181039798326847,0.3540884415290658,0.3693206979009831,0.22648272865522484,0.3311100524059076,0.9980576923462129,0.41750100120144173,114,3213,0.6491228070175439,0.04295051353874883,40
AFIO,IM001096.png,1000,1504,132172,165283,0.5174429745675817,0.3490206215957587,0.58225645371183,0.9356151062669664,0.4656135234718634,0.3304420524610722,0.19792188282423637,0.2696571720961965,0.9985815716453168,0.42660550458715596,84,2451,0.6904761904761905,0.04365565075479396,26
AFIO,IM001097.png,1000,1504,119275,159521,0.5315571242055123,0.36198692708282443,0.6212366380213792,0.9383104948636011,0.4645031061741087,0.35371097401383433,0.21485350897115604,0.2942914916783326,0.9984127630676609,0.44319512766455843,90,2379,0.7222222222222222,0.0487599831862127,25
AFIO,IM001126.png,1000,1504,106233,166548,0.45047125716233904,0.2907150056070521,0.5783513597469713,0.924802917796743,0.3689026586929894,0.3381259295984135,0.20346062052505967,0.32813702848344883,0.9978756395099025,0.3487420740437717,104,2596,0.7019230769230769,0.053543913713405236,31
AFIO,IM001127.png,1000,1504,97158,162079,0.410311799627368,0.2581083507641238,0.547397023405175,0.9225961408601676,0.32813627922186095,0.3252915516780913,0.19423772060386987,0.30608142067347965,0.9977056549564061,0.3470744680851064,116,2874,0.6551724137931034,0.049408489909533754,40
AFIO,IM001154.png,1000,1504,121005,171616,0.5081453484199698,0.34061317426720544,0.6144126275773728,0.9296678585244343,0.43321718254708186,0.3533455911743545,0.2145839401883678,0.33158289572393096,0.9975730214013564,0.3781656399726215,127,2772,0.8031496062992126,0.06818181818181818,25
AFIO,IM001155.png,1000,1504,115752,166409,0.49865147912007685,0.3321357247735009,0.6077648766328012,0.9308055909318796,0.42275357703008853,0.32466814159292035,0.19379333113238692,0.28596947060734007,0.9980445200495113,0.37547974413646057,112,2967,0.7589285714285714,0.05358948432760364,27
AFIO,IM001192.png,1000,1504,158406,183830,0.4993396369756542,0.33274660228202035,0.539411385932351,0.926884335096619,0.46480987869227003,0.3378463296201085,0.20325817981853175,0.28786993769470404,0.9971373636967373,0.4088206829807825,173,3227,0.7341040462427746,0.07871087697551905,46
AFIO,IM001193.png,1000,1504,167434,171203,0.5209353968999253,0.3522059792439495,0.5267986191573993,0.9379013082780798,0.5152012523145039,0.32805006166354544,0.19620806469238333,0.28081013450109477,0.9963023366228276,0.3943986820428336,246,2826,0.7154471544715447,0.12738853503184713,70
AFIO,IM001218.png,1000,1504,168283,177675,0.5569115326137855,0.38591641829311285,0.5724523570414124,0.9391031184000802,0.5421922048684396,0.31873992310554383,0.1895839480672765,0.2622984282506634,0.9974849451412862,0.4061314791403287,150,2654,0.7133333333333334,0.07648831951770912,43
AFIO,IM001219.png,1000,1504,152432,169334,0.572148704337935,0.40070608618430503,0.603869266295791,0.9428182673753743,0.5435943165578089,0.32862989432533135,0.1966230538703311,0.2843251241940598,0.9971763868323276,0.38929088277858176,182,2658,0.6978021978021978,0.09706546275395034,55
