dataset,height,width,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count
AFIO,1000.0,1504.0,120487.83838383839,171797.65656565657,0.47858448201551496,0.3165075864116611,0.5882323697646809,0.9269683575910868,0.411508993364312,0.32864831767956737,0.19735025766375938,0.2802134861276989,0.9981979239845006,0.4106654471413149,104.34343434343434,2798.7676767676767,0.7133534791282414,0.05184753085806886,28.949494949494948
CHASEDB1,960.0,999.0,66499.07142857143,152901.75,0.46959983122553633,0.30743136379470876,0.780702088608735,0.8866165987181667,0.3377606909145189,0.2760689142148449,0.16089256428555979,0.33876123066095604,0.9977862651624846,0.23635668063341114,59.107142857142854,3671.8214285714284,0.7640115614220319,0.0276514652672459,13.964285714285714
DualModal2019,1024.0,1024.0,67203.66666666667,193662.93333333332,0.44817679697031715,0.29006253367950596,0.8714329955302496,0.8624538734862827,0.30297135725302093,0.3563062204946709,0.21749172719268353,0.543206042375208,0.9965877226920975,0.26682929986250464,81.93333333333334,3956.1,0.803186396879341,0.0326965513610941,15.933333333333334
HRF,2336.0,3504.0,631093.5555555555,1624656.4,0.4349175814723873,0.2792285225935493,0.7822633378460913,0.8503250681391918,0.3032753949683898,0.426160388502279,0.27763841829769925,0.565579948033328,0.9984753792943374,0.3497310810369586,293.97777777777776,39299.64444444444,0.8582010665491742,0.014336016756441822,42.422222222222224
LES,1467.3636363636363,1646.1818181818182,162283.4090909091,327436.45454545453,0.47527022237643507,0.313604696524971,0.72615147763474,0.9071674573344125,0.36006301154918313,0.42547929511764815,0.2740217846053824,0.387722707479155,0.9992945615736669,0.47702697682272144,68.04545454545455,10121.636363636364,0.6353202201123715,0.01054035678765197,24.454545454545453
STARE,605.0,700.0,32202.65,87538.65,0.45336119329311453,0.29580870360967165,0.845451650585183,0.8460509792186303,0.31309982258190383,0.291395280521184,0.17280570856691096,0.5233413829281237,0.9910913848066321,0.20636779978848296,82.1,1425.85,0.7303575162954141,0.0777667437324411,22.1
OVERALL,1254.516393442623,1702.8032786885246,198442.12295081967,447389.41803278687,0.46339517552197457,0.3033810088682131,0.7144420847393341,0.891852787222164,0.3570352700227938,0.3496760952817519,0.21535139910057974,0.40151826123364287,0.9975202528638382,0.35097784202103893,126.27459016393442,10320.692622950819,0.7512834148483046,0.03819830574295727,27.147540983606557
