dataset,image,method,refinement,height,width,gt_vessel_pixels,pred_vessel_pixels,removed_short_components,removed_disconnected_components,dice,iou,sensitivity,specificity,precision,fp_pixels,fn_pixels,fp_over_gt_area,fn_over_gt_area,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,terminal_fp_pixels,terminal_fn_pixels,terminal_fp_over_gt_area,terminal_fn_over_gt_area,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count,pred_skeleton_pixels,gt_skeleton_pixels,skeleton_overlap,pred_skeleton_components,gt_skeleton_components,component_ratio,pruned_pred_skeleton_pixels,pruned_gt_skeleton_pixels,pruned_skeleton_overlap,pruned_pred_skeleton_components,pruned_gt_skeleton_components,pruned_component_ratio,pred_to_gt_skeleton_distance_mean,pred_to_gt_skeleton_distance_p95,gt_to_pred_skeleton_distance_mean,gt_to_pred_skeleton_distance_p95,skeleton_precision_radius_3,skeleton_recall_radius_3,skeleton_distance_f1_radius_3,skeleton_precision_radius_5,skeleton_recall_radius_5,skeleton_distance_f1_radius_5
HRF,01_g.jpg,clean_recovery,structure_filtered,800,1200,64230,107089,5,112,0.6430226653202505,0.47386396875376385,0.85755877315896,0.9419404534646171,0.5143478788671105,52008,9149,0.8097150864082204,0.14244122684104002,0.7337241968975204,0.5794347448635092,0.5794347448635092,1.0,1.0,0,4360,0.0,0.4205652551364908,1516,405,0.31200527704485487,0.5259259259259259,1043,20428,22061,0.29518154208784736,7539,8719,0.8646633788278473,18638,17868,0.3285202596821133,6813,6946,0.9808522890872444,2.8310099056801676,16.1245154965971,4.417181005087516,25.298221281347036,0.8496181711376543,0.7828747563573727,0.8148820831301443,0.8745839044448795,0.8110693078282942,0.8416300065175207
HRF,01_g.jpg,connected_recovery,raw,800,1200,64230,160407,0,0,0.5173858269118623,0.34896862332983036,0.9047485598629924,0.8858021590363597,0.3622784541821741,102295,6118,1.592635839950179,0.09525144013700763,0.827129765810612,0.705218481720845,0.705218481720845,1.0,1.0,0,3056,0.0,0.294781518279155,1516,2338,0.7341688654353562,0.3186484174508127,403,33696,22061,0.32999410724808487,12192,8719,1.3983254960431242,24679,17868,0.34598164316095814,8617,6946,1.240570112294846,6.802211489891483,26.40075756488817,1.4357551503595212,6.324555320336759,0.6175807217473884,0.8988713113639454,0.7321373589261574,0.6501661918328585,0.9319613798105254,0.7659682975087977
HRF,01_g.jpg,connected_recovery,structure_filtered,800,1200,64230,121704,7,97,0.6077963148213882,0.43657140208145007,0.8797290985520785,0.9272145751699655,0.46428219286136857,65199,7725,1.0150864082204578,0.12027090144792153,0.7585917854149203,0.6110735989196489,0.6110735989196489,1.0,1.0,0,4032,0.0,0.3889264010803511,1516,457,0.36147757255936674,0.5448577680525164,968,21806,22061,0.2990798241240198,7825,8719,0.8974653056543181,19786,17868,0.3298074770539512,7035,6946,1.0128131298589116,3.1056251053739135,17.413856022837752,3.8140597141311297,21.840329667841555,0.8309639548748051,0.8067630660441503,0.8186847007394472,0.8586168944327249,0.8330538053578713,0.8456422060632479
HRF,01_h.jpg,baseline,raw,800,1200,97834,153140,0,0,0.6572712711276866,0.4895041395887118,0.8430504732506082,0.9180424651401238,0.5385856079404466,70661,15355,0.7222540221190997,0.15694952674939183,0.7079820431402606,0.5479661016949152,0.5479661016949152,1.0,1.0,0,2667,0.0,0.4520338983050847,370,2598,0.8189189189189189,0.21401077752117012,67,35386,25497,0.4371494685649292,13408,9658,1.388279146821288,25284,23493,0.4121653258417401,9182,8826,1.0403353727622933,5.31962349385395,21.213203435596427,1.3667117157554691,7.0,0.6382750240207992,0.8841432325371612,0.741355459387844,0.6747018594924546,0.9255990900890301,0.7804824803621025
HRF,01_h.jpg,baseline,structure_filtered,800,1200,97834,104887,11,110,0.7512985827812609,0.6016639145446357,0.7783797043972444,0.9666711514951877,0.7260384985746565,28735,21682,0.2937117975345994,0.2216202956027557,0.4571129707112971,0.29627118644067796,0.29627118644067796,1.0,1.0,0,4152,0.0,0.703728813559322,370,469,0.3027027027027027,0.29850746268656714,258,20922,25497,0.3703572969368945,7943,9658,0.8224270035203975,18921,23493,0.37351551525986465,7072,8826,0.8012689780194879,2.439636652256384,15.231546211727817,6.016792845280287,29.966648127543394,0.8496319663512093,0.7110640467505981,0.774196562521685,0.8756811012331517,0.7369886653331764,0.8003709865900348
HRF,01_h.jpg,multiscale_line,raw,800,1200,97834,155122,0,0,0.6587390692452443,0.4911341664701721,0.8516057812212523,0.9167144146254897,0.537099831100682,71806,14518,0.7339575198806141,0.14839421877874767,0.7115090631142171,0.5522033898305084,0.5522033898305084,1.0,1.0,0,2642,0.0,0.4477966101694915,370,2588,0.8189189189189189,0.21445131375579599,67,35399,25497,0.4378554339726242,13341,9658,1.3813418927314143,25341,23493,0.4153152002724216,9132,8826,1.034670292318151,5.319599994867452,21.213203435596427,1.3550748567026518,7.0,0.6371083928924546,0.8861826881593913,0.741282392164323,0.6741715867679878,0.9259912930933051,0.7802668431505781
HRF,01_h.jpg,multiscale_line,structure_filtered,800,1200,97834,108344,11,106,0.7516126841855096,0.6020669023660593,0.7919843817077907,0.9642052690549152,0.7151572768219745,30861,20351,0.3154424842079441,0.20801561829220924,0.4637417002994402,0.30186440677966103,0.30186440677966103,1.0,1.0,0,4119,0.0,0.698135593220339,370,490,0.3054054054054054,0.28775510204081634,257,21531,25497,0.3743969878809272,8051,9658,0.8336094429488506,19470,23493,0.37917677606095435,7159,8826,0.8111262179922955,2.4290053503455113,15.0,5.460073144172563,28.0,0.8486832938553713,0.7256932188100561,0.7823842725213563,0.8760856439552274,0.7503627877789544,0.808365089608699
HRF,01_h.jpg,clean_recovery,raw,800,1200,97834,158530,0,0,0.6573699895461141,0.48961365709670485,0.8612854426886358,0.9138599759211103,0.5315271557433924,74267,13571,0.7591123740213014,0.13871455731136415,0.7127740809425112,0.553728813559322,0.553728813559322,1.0,1.0,0,2633,0.0,0.446271186440678,370,2589,0.8162162162162162,0.21436848203939746,68,35336,25497,0.4349923520414166,13260,9658,1.3729550631600747,25320,23493,0.41288894564338313,9059,8826,1.026399274869703,5.322157407497191,21.213203435596427,1.3595118344755865,7.0,0.6372820919175911,0.8864180099619563,0.741482294324399,0.6742415666742133,0.9261089539945876,0.7803554833617031
HRF,01_h.jpg,clean_recovery,structure_filtered,800,1200,97834,113288,11,101,0.7481172023758774,0.5975936435868331,0.8072040394954719,0.960197920122111,0.6970906009462609,34316,18862,0.3507574054009853,0.19279596050452807,0.4750581545619023,0.31152542372881353,0.31152542372881353,1.0,1.0,0,4062,0.0,0.6884745762711865,370,506,0.3108108108108108,0.2845849802371542,255,21828,25497,0.37455386908263716,8148,9658,0.8436529302132947,19686,23493,0.37879368322479035,7223,8826,0.8183775209607976,2.4906754489805296,15.297058540778355,5.009306723346735,26.1725046566048,0.8457943925233645,0.736400360826764,0.7873155874403642,0.8723657687374015,0.7620112170059222,0.8134628753445902
HRF,01_h.jpg,connected_recovery,raw,800,1200,97834,165669,0,0,0.6503834870950236,0.4819024373783842,0.8758611525645481,0.9072336417812811,0.5172301396157398,79980,12145,0.8175072060837746,0.1241388474354519,0.7205898297733926,0.5632203389830508,0.5632203389830508,1.0,1.0,0,2577,0.0,0.43677966101694915,370,2605,0.8135135135135135,0.2126679462571977,69,35980,25497,0.4250696160332588,13257,9658,1.3726444398426174,25976,23493,0.40531222066147365,9095,8826,1.0304781327894856,5.293674409506633,21.18962010041709,1.3557048937212282,7.0,0.6370483602001111,0.8890849903910264,0.7422551050178511,0.6785158421345192,0.9274032239086951,0.7836730913458666
HRF,01_h.jpg,connected_recovery,structure_filtered,800,1200,97834,122369,11,92,0.7356484698210288,0.5818385569691179,0.8278921438354764,0.9520127214480738,0.6618996641306213,41373,16838,0.4228897929145287,0.1721078561645236,0.5040567951318459,0.3369491525423729,0.3369491525423729,1.0,1.0,0,3912,0.0,0.6630508474576271,370,538,0.34054054054054056,0.28066914498141265,244,22601,25497,0.37078872024159704,8216,9658,0.8506937254089874,20365,23493,0.3761971651130124,7271,8826,0.8238159981871742,2.5380792083597616,15.231546211727817,4.6280045272588,24.73863375370596,0.8385469669483652,0.7508726516845119,0.792291698495711,0.8702712269368612,0.7779738792799152,0.8215383499603321
HRF,02_dr.jpg,baseline,raw,800,1200,61175,164338,0,0,0.4767796091577869,0.31300763305444446,0.8787903555373927,0.8769749395043529,0.32713066971729,110578,7415,1.8075684511646914,0.12120964446260728,0.7931065595957774,0.6571471291866029,0.6571471291866029,1.0,1.0,0,2293,0.0,0.3428528708133971,1035,3162,0.8144927536231884,0.20683111954459202,192,37689,20523,0.3774302002631194,14345,8154,1.7592592592592593,25611,17342,0.3800599700149925,9274,6853,1.3532759375456005,9.015557434318362,30.886890422961002,1.2470958590208618,5.385164807134504,0.5171535461275173,0.9122447985187351,0.6600967942314222,0.5473745655230969,0.9464990498465137,0.6936189257878753
HRF,02_dr.jpg,baseline,structure_filtered,800,1200,61175,100223,17,183,0.6431802128898747,0.47403510694649936,0.848451164691459,0.9462420382165605,0.5178851161908943,48319,9271,0.789848794442174,0.15154883530854107,0.6353805345847786,0.46561004784689,0.46561004784689,1.0,1.0,0,3574,0.0,0.53438995215311,1035,483,0.31980676328502416,0.35610766045548653,704,20070,20523,0.3420065292598548,7540,8154,0.9246995339710572,18003,17342,0.3704878330065736,6710,6853,0.9791332263242376,2.9243584716369555,16.492422502470642,3.979818390531121,23.769728648009426,0.8339810662680618,0.8058763338693173,0.8196878632791191,0.8602889885401096,0.8280465818837401,0.8438599160876803
HRF,02_dr.jpg,multiscale_line,raw,800,1200,61175,167444,0,0,0.47308403938430316,0.30982978211423107,0.8839885574172456,0.8738731121185993,0.3229617066004157,113366,7097,1.8531426236207602,0.11601144258275439,0.7971223021582734,0.6626794258373205,0.6626794258373205,1.0,1.0,0,2256,0.0,0.3373205741626794,1035,3177,0.8106280193236715,0.20522505508341202,196,38450,20523,0.37976903961409153,14427,8154,1.7693156732891833,26361,17342,0.3840964133317956,9410,6853,1.3731212607617103,9.091110550992667,30.805843601498726,1.2369265545474502,5.385164807134504,0.5102990897269181,0.9135603956536569,0.65482450073087,0.5411963589076723,0.9468401305851971,0.6887283137996315
HRF,02_dr.jpg,multiscale_line,structure_filtered,800,1200,61175,104966,20,174,0.6322701801481874,0.46227710398000316,0.8585696771557009,0.9416538258281646,0.5003810757769183,52443,8652,0.8572619534123417,0.14143032284429916,0.669848846459825,0.5035885167464115,0.5035885167464115,1.0,1.0,0,3320,0.0,0.4964114832535885,1035,535,0.35845410628019325,0.35700934579439253,664,20890,20523,0.34770745017784926,7770,8154,0.9529065489330389,18630,17342,0.3739476415638335,6889,6853,1.0052531737924997,3.0618255833589063,16.64331697709324,3.570513434254359,21.2602916254693,0.8180947821924366,0.8201529990742095,0.8191225977102435,0.8462900909526089,0.8427130536471276,0.8444977845047047
HRF,02_dr.jpg,clean_recovery,raw,800,1200,61175,170071,0,0,0.4702005656314055,0.3073609226594301,0.8886963628933388,0.8712708258003504,0.3196664922297158,115705,6809,1.8913771965672252,0.11130363710666122,0.7992818671454219,0.6656698564593302,0.6656698564593302,1.0,1.0,0,2236,0.0,0.33433014354066987,1035,3139,0.81256038647343,0.20579802484867793,194,38112,20523,0.3748964576328997,14296,8154,1.7532499386804024,26158,17342,0.37821473878445394,9331,6853,1.3615934627170583,9.011262355728954,30.805843601498726,1.2458942751870643,5.385164807134504,0.5153232577665827,0.913462944014033,0.6589211171996515,0.5465994962216625,0.9469375822248209,0.6931138340881743
HRF,02_dr.jpg,clean_recovery,structure_filtered,800,1200,61175,107071,24,177,0.6267608145215934,0.4564105227620952,0.8618716796076829,0.939536617250299,0.49243025655873207,54346,8450,0.888369431957499,0.13812832039231712,0.6690547263681592,0.5026913875598086,0.5026913875598086,1.0,1.0,0,3326,0.0,0.49730861244019137,1035,521,0.3536231884057971,0.362763915547025,669,20767,20523,0.34225015835891437,7701,8154,0.9444444444444444,18549,17342,0.3678353131126744,6825,6853,0.9959141981613892,3.0343563579242003,16.64331697709324,3.6225606340214798,21.470910553583888,0.8215437954446959,0.8181552404619208,0.8198460166080555,0.85072470746858,0.8411051015933343,0.8458875563849737
HRF,02_dr.jpg,connected_recovery,raw,800,1200,61175,181035,0,0,0.45247512489162295,0.29238633392560814,0.8957417245606866,0.8595521931410453,0.30268732565526,126238,6378,2.063555373927258,0.10425827543931344,0.8081618105675844,0.6780801435406698,0.6780801435406698,1.0,1.0,0,2153,0.0,0.32191985645933013,1035,3144,0.7932367149758454,0.19815521628498728,214,39318,20523,0.3708522145885105,14411,8154,1.7673534461613931,27409,17342,0.37683081536155,9524,6853,1.3897563111046256,9.077879379588577,30.805843601498726,1.2470826668082053,5.385164807134504,0.5082659341777302,0.9155094284461336,0.6536456060598709,0.543288061447683,0.9472786629635044,0.6905362638569483
