method,refinement,height,width,gt_vessel_pixels,pred_vessel_pixels,removed_short_components,removed_disconnected_components,dice,iou,sensitivity,specificity,precision,fp_pixels,fn_pixels,fp_over_gt_area,fn_over_gt_area,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,terminal_fp_pixels,terminal_fn_pixels,terminal_fp_over_gt_area,terminal_fn_over_gt_area,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count,pred_skeleton_pixels,gt_skeleton_pixels,skeleton_overlap,pred_skeleton_components,gt_skeleton_components,component_ratio,pruned_pred_skeleton_pixels,pruned_gt_skeleton_pixels,pruned_skeleton_overlap,pruned_pred_skeleton_components,pruned_gt_skeleton_components,pruned_component_ratio,pred_to_gt_skeleton_distance_mean,pred_to_gt_skeleton_distance_p95,gt_to_pred_skeleton_distance_mean,gt_to_pred_skeleton_distance_p95,skeleton_precision_radius_3,skeleton_recall_radius_3,skeleton_distance_f1_radius_3,skeleton_precision_radius_5,skeleton_recall_radius_5,skeleton_distance_f1_radius_5
baseline,raw,800.0,1200.0,74014.26666666666,162090.11111111112,0.0,0.0,0.5501340324145455,0.38396425774886184,0.8785962491547666,0.890695863503062,0.405995906834467,97045.55555555556,8969.711111111112,1.3910854168865516,0.12140375084523336,0.7995937171162109,0.6678508560943868,0.6678508560943868,1.0,1.0,0.0,2371.8888888888887,0.0,0.3321491439056132,757.2666666666667,2825.8888888888887,0.7875304028001202,0.20901096493642182,170.6888888888889,36836.6,22417.333333333332,0.4157720957199978,13850.0,8736.08888888889,1.6060109459263177,25836.266666666666,19709.755555555555,0.4072070726119033,9302.977777777778,7647.0,1.2324243005346995,7.937042353626488,27.90099699438411,1.286188344422937,5.883650225355991,0.557807773784719,0.8978719889661453,0.6855623608106011,0.5891157314478443,0.9370845441457191,0.7210216631131726
baseline,structure_filtered,800.0,1200.0,74014.26666666666,101993.17777777778,13.222222222222221,161.15555555555557,0.6730890640996537,0.5114740554293956,0.8065256314057468,0.9522950306269448,0.5862306295516583,42355.37777777778,14376.466666666667,0.6072606221218417,0.19347436859425318,0.6395256465746537,0.47482297550502356,0.47482297550502356,1.0,1.0,0.0,3724.1111111111113,0.0,0.5251770244949765,757.2666666666667,499.6666666666667,0.3298854560953389,0.34016430000787873,523.1111111111111,19936.133333333335,22417.333333333332,0.352808390036914,7502.777777777777,8736.08888888889,0.8637378128652772,17794.355555555554,19709.755555555555,0.36859892803668554,6606.622222222222,7647.0,0.868792858704678,3.0527710754584816,16.914488535985885,7.137191448049641,37.49172984974275,0.826800871054082,0.737996127174916,0.7764818566453706,0.8533949989711617,0.7645001802292626,0.8033759117028612
clean_recovery,raw,800.0,1200.0,74014.26666666666,168201.7111111111,0.0,0.0,0.5449004441200634,0.3790327252706841,0.8929278875835838,0.8850057095669444,0.3975110940668637,102101.93333333333,7914.488888888889,1.464096891886583,0.10707211241641625,0.8054135918170819,0.6759886434147584,0.6759886434147584,1.0,1.0,0.0,2313.8,0.0,0.3240113565852416,757.2666666666667,2810.0222222222224,0.7849849983160729,0.20915617321120877,172.86666666666667,37011.933333333334,22417.333333333332,0.41007980361202534,13771.844444444445,8736.08888888889,1.5970625121760975,26135.977777777778,19709.755555555555,0.4036956135958301,9288.133333333333,7647.0,1.2309892340273552,7.93481967610343,27.899825995610893,1.2850752589495746,5.851806812865339,0.5573130885450095,0.899426334110901,0.6855774621702428,0.589423167277617,0.9376557616688789,0.7213766313025545
clean_recovery,structure_filtered,800.0,1200.0,74014.26666666666,113560.86666666667,16.57777777777778,145.35555555555555,0.6605417678135432,0.49746789029533645,0.8419601854739258,0.9422710280500761,0.5499250576367968,51267.86666666667,11721.266666666666,0.7368762319486436,0.15803981452607413,0.6717882932682583,0.5097368386889741,0.5097368386889741,1.0,1.0,0.0,3482.911111111111,0.0,0.490263161311026,757.2666666666667,552.4,0.36373726981016463,0.3394539784959824,500.06666666666666,21349.68888888889,22417.333333333332,0.35958374921038233,7883.311111111111,8736.08888888889,0.9108743059612435,19002.68888888889,19709.755555555555,0.37523084428241654,6906.022222222222,7647.0,0.9110956339096385,3.362534613619767,18.337443971926024,4.931741611331072,27.89738818914665,0.8092136397307536,0.7708248089528191,0.7866324839489635,0.8376307130331594,0.7984771866758125,0.8149864210545869
connected_recovery,raw,800.0,1200.0,74014.26666666666,176792.06666666668,0.0,0.0,0.5318687952413343,0.3668853098577871,0.9021718337470424,0.8761259821808997,0.3823803728809188,109993.77777777778,7215.977777777778,1.5784388777743763,0.09782816625295758,0.8113093335805794,0.6843276532410411,0.6843276532410411,1.0,1.0,0.0,2253.9555555555557,0.0,0.31567234675895894,757.2666666666667,2811.0666666666666,0.7806833391699731,0.20692686422510534,175.64444444444445,37766.13333333333,22417.333333333332,0.4036051283827274,13805.777777777777,8736.08888888889,1.6013108301508308,26974.266666666666,19709.755555555555,0.3995776887659427,9387.488888888889,7647.0,1.2448047921316296,7.927608081192384,27.897527457673167,1.2766982473699664,5.756169915233149,0.5556850363090589,0.9028471733552206,0.685218893666158,0.590906653250516,0.9393784787920727,0.7229174507275524
connected_recovery,structure_filtered,800.0,1200.0,74014.26666666666,126739.46666666666,16.444444444444443,126.71111111111111,0.6339548905688303,0.4686956358733877,0.8645957658122709,0.9293314598319767,0.5067488439245279,62762.4,10037.2,0.9025886501387559,0.13540423418772904,0.7020335809508755,0.5451199678369392,0.5451199678369392,1.0,1.0,0.0,3230.9555555555557,0.0,0.45488003216306083,757.2666666666667,628.6222222222223,0.39835055666404606,0.33171295395360073,473.6666666666667,23044.8,22417.333333333332,0.36137313593485576,8351.244444444445,8736.08888888889,0.9661330489552665,20409.4,19709.755555555555,0.3762762337002931,7258.955555555555,7647.0,0.959153811421066,3.755763159510355,19.704000441884677,4.052304228930016,23.441001182065666,0.784844864646539,0.7983001331931167,0.788455133977483,0.8168411587367179,0.8263291678029225,0.818802797895885
multiscale_line,raw,800.0,1200.0,74014.26666666666,164779.97777777776,0.0,0.0,0.5489941149939418,0.38295440316104185,0.8867425567764958,0.8883381168430199,0.40317655215812365,99145.26666666666,8379.555555555555,1.422180297105152,0.11325744322350405,0.8032942009068703,0.6730210614985908,0.6730210614985908,1.0,1.0,0.0,2335.2,0.0,0.32697893850140924,757.2666666666667,2817.511111111111,0.7866483162472434,0.2095647121473806,170.9777777777778,37066.91111111111,22417.333333333332,0.41463471926066703,13834.044444444444,8736.08888888889,1.6044395716957758,26136.533333333333,19709.755555555555,0.40798016284036587,9331.022222222222,7647.0,1.2367167122627323,7.946167330287214,27.91660771169167,1.277715790174223,5.864111542817259,0.556423839176602,0.899567481899216,0.6848970598767727,0.5885098087658209,0.9377326366494023,0.7206648681968948
multiscale_line,structure_filtered,800.0,1200.0,74014.26666666666,110166.15555555555,15.666666666666666,146.0,0.6688040873430963,0.5069097552343149,0.8365911787050845,0.9456597562611081,0.5638246188374508,48261.933333333334,12110.044444444444,0.6944800084110497,0.1634088212949155,0.6678342015542006,0.5055605954394251,0.5055605954394251,1.0,1.0,0.0,3516.777777777778,0.0,0.4944394045605748,757.2666666666667,555.3333333333334,0.3642102601044815,0.33906437541026097,501.73333333333335,21402.82222222222,22417.333333333332,0.3645889630062411,7941.355555555556,8736.08888888889,0.9177425316895409,19041.777777777777,19709.755555555555,0.3803903392277901,6961.0,7647.0,0.9184222430185481,3.4059592237700036,18.537979334317193,4.914048793346807,27.835228261753638,0.8078383836868265,0.7710019923839809,0.7859157311932421,0.8362450998110614,0.7982965632057685,0.8140865375248322
