image,method,removed_far_components,removed_weak_components,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,fp_pixels,fn_pixels,fp_over_gt_area,fn_over_gt_area,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,terminal_fp_pixels,terminal_fn_pixels,terminal_fp_over_gt_area,terminal_fn_over_gt_area,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count,skeleton_distance_f1_radius_5
01_dr.jpg,baseline_raw,0,0,48921,180291,0.37540791930614453,0.2310782649794831,0.8794587191594612,0.8493357875661716,0.23863642666577922,137267,5897,2.8058911305983116,0.12054128084053883,0.8493956910141881,0.7382170259408111,0.7382170259408111,1.0,1.0,0,1433,0.0,0.2617829740591889,986,3514,0.6795131845841785,0.1323278315310188,316,0.5959212207433884
01_dr.jpg,connected_recovery_raw,0,0,48921,196473,0.3608238180232606,0.22012509819910303,0.9049692361153697,0.8329442342541097,0.22533376087299528,152201,4649,3.1111588070562743,0.09503076388463032,0.8624272651704074,0.7581293386919985,0.7581293386919985,1.0,1.0,0,1324,0.0,0.24187066130800147,986,3518,0.6835699797160243,0.13018760659465606,312,0.5895827912912837
01_dr.jpg,soft_structure_refined,0,3596,48921,186257,0.3688270161324614,0.22611152819486152,0.886531346456532,0.843167277480877,0.23285030898167586,142887,5551,2.920770221377323,0.11346865354346804,0.8519295302013423,0.742053343076361,0.742053343076361,1.0,1.0,0,1412,0.0,0.257946656923639,986,3500,0.6815415821501014,0.13257142857142856,314,0.5941561717422112
01_g.jpg,baseline_raw,0,0,64230,144531,0.5364890951854034,0.3665767664733376,0.8718511598941304,0.9011665941033971,0.38745321072987804,88532,8231,1.3783590222637396,0.12814884010586952,0.813301282051282,0.6853477380148548,0.6853477380148548,1.0,1.0,0,3262,0.0,0.3146522619851452,1516,2345,0.7361477572559367,0.320682302771855,400,0.7646608059188822
01_g.jpg,connected_recovery_raw,0,0,64230,160407,0.5173858269118623,0.34896862332983036,0.9047485598629924,0.8858021590363597,0.3622784541821741,102295,6118,1.592635839950179,0.09525144013700763,0.827129765810612,0.705218481720845,0.705218481720845,1.0,1.0,0,3056,0.0,0.294781518279155,1516,2338,0.7341688654353562,0.3186484174508127,403,0.7659682975087977
01_g.jpg,soft_structure_refined,0,4391,64230,147796,0.5308971541226076,0.36137507704951716,0.8762572006850381,0.8978376145662391,0.38080868223767894,91514,7948,1.424785925579947,0.12374279931496186,0.8158766419189035,0.6890132150091637,0.6890132150091637,1.0,1.0,0,3224,0.0,0.3109867849908363,1516,2347,0.7368073878627969,0.3204090328078398,399,0.7629825252455351
01_h.jpg,baseline_raw,0,0,97834,153140,0.6572712711276866,0.4895041395887118,0.8430504732506082,0.9180424651401238,0.5385856079404466,70661,15355,0.7222540221190997,0.15694952674939183,0.7079820431402606,0.5479661016949152,0.5479661016949152,1.0,1.0,0,2667,0.0,0.4520338983050847,370,2598,0.8189189189189189,0.21401077752117012,67,0.7804824803621025
01_h.jpg,connected_recovery_raw,0,0,97834,165669,0.6503834870950236,0.4819024373783842,0.8758611525645481,0.9072336417812811,0.5172301396157398,79980,12145,0.8175072060837746,0.1241388474354519,0.7205898297733926,0.5632203389830508,0.5632203389830508,1.0,1.0,0,2577,0.0,0.43677966101694915,370,2605,0.8135135135135135,0.2126679462571977,69,0.7836730913458666
01_h.jpg,soft_structure_refined,0,3828,97834,154638,0.6569995880731329,0.4892028194768042,0.847731872355214,0.9168362009172247,0.5363300094414051,71701,14897,0.7328842733609993,0.15226812764478606,0.712352684417285,0.5532203389830509,0.5532203389830509,1.0,1.0,0,2636,0.0,0.44677966101694916,370,2591,0.8162162162162162,0.21381705905055962,68,0.7800772577583489
02_dr.jpg,baseline_raw,0,0,61175,164338,0.4767796091577869,0.31300763305444446,0.8787903555373927,0.8769749395043529,0.32713066971729,110578,7415,1.8075684511646914,0.12120964446260728,0.7931065595957774,0.6571471291866029,0.6571471291866029,1.0,1.0,0,2293,0.0,0.3428528708133971,1035,3162,0.8144927536231884,0.20683111954459202,192,0.6936189257878753
02_dr.jpg,connected_recovery_raw,0,0,61175,181035,0.45247512489162295,0.29238633392560814,0.8957417245606866,0.8595521931410453,0.30268732565526,126238,6378,2.063555373927258,0.10425827543931344,0.8081618105675844,0.6780801435406698,0.6780801435406698,1.0,1.0,0,2153,0.0,0.32191985645933013,1035,3144,0.7932367149758454,0.19815521628498728,214,0.6905362638569483
02_dr.jpg,soft_structure_refined,0,3666,61175,172623,0.46269001445692437,0.30097379110789607,0.8841520228851655,0.868122270742358,0.3133302051290964,118535,7087,1.9376379239885575,0.1158479771148345,0.7986348122866894,0.6647727272727273,0.6647727272727273,1.0,1.0,0,2242,0.0,0.3352272727272727,1035,3141,0.8038647342995169,0.20407513530722698,203,0.6904319019642827
02_g.jpg,baseline_raw,0,0,71431,162188,0.5414799309987629,0.3712529861653235,0.8854698940236032,0.8886546796028221,0.3899795299282314,98938,8181,1.3850849071131581,0.1145301059763968,0.8092622509423801,0.679630969609262,0.679630969609262,1.0,1.0,0,3542,0.0,0.32036903039073805,1589,2549,0.7520453115166772,0.3252255786582974,394,0.7501291784043287
02_g.jpg,connected_recovery_raw,0,0,71431,175574,0.5233497297625554,0.35441684487580194,0.9048592347860173,0.8751486941363023,0.3681353731190267,110939,6796,1.5530931948313758,0.09514076521398272,0.8207562263345954,0.6960021707670043,0.6960021707670043,1.0,1.0,0,3361,0.0,0.3039978292329957,1589,2524,0.7507866582756451,0.3256735340729002,396,0.7536299162444001
02_g.jpg,soft_structure_refined,0,3313,71431,166283,0.5357782881950579,0.36591336125907153,0.8915036888745783,0.8845311956640396,0.3829675913953922,102602,7750,1.4363791631084544,0.10849631112542174,0.8126510229286367,0.6844247467438495,0.6844247467438495,1.0,1.0,0,3489,0.0,0.3155752532561505,1589,2539,0.7507866582756451,0.3257187869239858,396,0.7502074781204752
02_h.jpg,baseline_raw,0,0,94825,168636,0.646129787710515,0.47724647595124087,0.8976008436593725,0.9034634611494784,0.504726155743732,83521,9710,0.8807909306617453,0.10239915634062748,0.8380778865861991,0.7212857702861623,0.7212857702861623,1.0,1.0,0,1422,0.0,0.2787142297138377,277,2811,0.8700361010830325,0.16506581287797936,36,0.7417656913105038
02_h.jpg,connected_recovery_raw,0,0,94825,178172,0.6396407286526958,0.47019985243985846,0.9207487476931189,0.8949784725633543,0.4900321038098018,90862,7515,0.9582072238333773,0.0792512523068811,0.8484369709965015,0.7367698941591533,0.7367698941591533,1.0,1.0,0,1343,0.0,0.2632301058408467,277,2786,0.8700361010830325,0.16331658291457288,36,0.7440260260979594
02_h.jpg,soft_structure_refined,0,3267,94825,170850,0.6447953326432672,0.4757918476630634,0.9032744529396256,0.9015262808102407,0.501334503950834,85197,9172,0.8984655945162141,0.09672554706037437,0.8411130039750142,0.7257938063504508,0.7257938063504508,1.0,1.0,0,1399,0.0,0.2742061936495492,277,2808,0.8700361010830325,0.1648860398860399,36,0.7416704241009862
03_dr.jpg,baseline_raw,0,0,57927,211650,0.3698386731805755,0.22687243716065844,0.8605658846479189,0.8206353587791675,0.23553035672100164,161800,8077,2.7931707148652616,0.13943411535208106,0.8065859564164649,0.6758643077422496,0.6758643077422496,1.0,1.0,0,1997,0.0,0.32413569225775035,930,3532,0.7741935483870968,0.15118912797281994,210,0.5688773794825946
03_dr.jpg,connected_recovery_raw,0,0,57927,224923,0.3600353544281421,0.2195384854181398,0.8790028829388713,0.8071054116462858,0.22637969438430042,174005,7009,3.003866935971136,0.12099711706112866,0.8143943038583662,0.6869014770329492,0.6869014770329492,1.0,1.0,0,1929,0.0,0.3130985229670508,930,3489,0.7623655913978494,0.15075952995127545,221,0.566993237635838
