method,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,fp_pixels,fn_pixels,fp_over_gt_area,fn_over_gt_area,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,terminal_fp_pixels,terminal_fn_pixels,terminal_fp_over_gt_area,terminal_fn_over_gt_area,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count,pred_to_gt_skeleton_distance_mean,pred_to_gt_skeleton_distance_p95,gt_to_pred_skeleton_distance_mean,gt_to_pred_skeleton_distance_p95,skeleton_precision_radius_3,skeleton_recall_radius_3,skeleton_distance_f1_radius_3,skeleton_precision_radius_5,skeleton_recall_radius_5,skeleton_distance_f1_radius_5,terminal_pred_to_gt_skeleton_distance_mean,terminal_pred_to_gt_skeleton_distance_p95,terminal_gt_to_pred_skeleton_distance_mean,terminal_gt_to_pred_skeleton_distance_p95,terminal_skeleton_precision_radius_3,terminal_skeleton_recall_radius_3,terminal_skeleton_distance_f1_radius_3,terminal_skeleton_precision_radius_5,terminal_skeleton_recall_radius_5,terminal_skeleton_distance_f1_radius_5,removed_far_components,removed_weak_components,kept_components,kept_terminal_components,kept_nonterminal_components,removed_direction_components,removed_short_components,branch_graph_components,soft_graph_scored_components,iterative_layers,tree_connected_components,removed_low_contrast_components
baseline_raw,74014.26666666666,162090.11111111112,0.5501340324145455,0.38396425774886184,0.8785962491547666,0.890695863503062,0.405995906834467,97045.55555555556,8969.711111111112,1.3910854168865516,0.12140375084523336,0.7995937171162109,0.6678508560943868,0.6678508560943868,1.0,1.0,0.0,2371.8888888888887,0.0,0.3321491439056132,757.2666666666667,2825.8888888888887,0.7875304028001202,0.20901096493642182,170.6888888888889,7.937042353626488,27.90099699438411,1.286188344422937,5.883650225355991,0.557807773784719,0.8978719889661453,0.6855623608106011,0.5891157314478443,0.9370845441457191,0.7210216631131726,0.07442666804411151,0.5055555555555555,4.117224407358321,23.501706162153557,0.9989857621252137,0.7563693410396525,0.8597060424168929,0.9998152897044251,0.8134816952198805,0.8962546340800811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
branch_graph_refined,74014.26666666666,162665.0,0.5491900027018957,0.38308252978090074,0.8791973539636687,0.8900998363417939,0.4048839055760589,97576.33333333333,8925.6,1.3989340132679453,0.12080264603633116,0.7999633062030296,0.6683594994918309,0.6683594994918309,1.0,1.0,0.0,2368.222222222222,0.0,0.33164050050816907,757.2666666666667,2824.9555555555557,0.787222448706146,0.2089316052248274,170.9111111111111,7.940789733055202,27.91461538252866,1.2873923797508906,5.886020458680678,0.5576673122486355,0.8980386064082212,0.685493655804483,0.5891698724672848,0.9371403980112788,0.7210675765421419,0.07456597571971536,0.4888888888888889,4.099189435147599,23.41106354917904,0.9989356335141556,0.7566592559191055,0.8598733050573079,0.9998026801352692,0.8137444727649795,0.8964071085631449,0.0,3301.288888888889,0.0,19.066666666666666,0.0,8.177777777777777,1890.4222222222222,27.244444444444444,0.0,0.0,0.0,0.0
connected_recovery_raw,74014.26666666666,176792.06666666668,0.5318687952413343,0.3668853098577871,0.9021718337470424,0.8761259821808997,0.3823803728809188,109993.77777777778,7215.977777777778,1.5784388777743763,0.09782816625295758,0.8113093335805794,0.6843276532410411,0.6843276532410411,1.0,1.0,0.0,2253.9555555555557,0.0,0.31567234675895894,757.2666666666667,2811.0666666666666,0.7806833391699731,0.20692686422510534,175.64444444444445,7.927608081192384,27.897527457673167,1.2766982473699664,5.756169915233149,0.5556850363090589,0.9028471733552206,0.685218893666158,0.590906653250516,0.9393784787920727,0.7229174507275524,0.06389812461563953,0.4222222222222222,4.0036449850623,23.062527953403215,0.9989001700806777,0.7640406458049233,0.864667118558862,0.9997741805950778,0.8185597349552443,0.899338053695506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hierarchical_terminal_refined,74014.26666666666,164979.24444444446,0.5452303539360559,0.3795005661169763,0.8811108196065871,0.8876638154083193,0.40052685540555977,99753.53333333334,8788.555555555555,1.4325140760603334,0.11888918039341297,0.8011215785008897,0.6699941369997278,0.6699941369997278,1.0,1.0,0.0,2356.6444444444446,0.0,0.33000586300027224,757.2666666666667,2822.9555555555557,0.7864814897291501,0.20896287661874974,171.57777777777778,7.9533026421221775,27.932993986629278,1.2941810829791487,5.896300850236325,0.5569298731787019,0.8978161537604505,0.6848454724415934,0.5887411435623051,0.9368920268466455,0.7206560122497355,0.07342064289167066,0.4666666666666667,4.089890081706337,23.34378231050651,0.9990071156784919,0.7573807203614105,0.8603734815018815,0.9998104113324431,0.8142514818429196,0.8967197139259637,0.0,87.77777777777777,0.0,33.55555555555556,0.8444444444444444,1429.1555555555556,2229.311111111111,0.0,0.0,0.0,0.0,0.0
soft_graph_score_refined,74014.26666666666,168958.13333333333,0.5405309551806419,0.3750844322004271,0.8881812148898529,0.8837732769341339,0.3941701954062336,103212.48888888888,8268.622222222222,1.4827681986329075,0.11181878511014696,0.8047823484334056,0.6751027810136134,0.6751027810136134,1.0,1.0,0.0,2320.911111111111,0.0,0.32489721898638657,757.2666666666667,2813.3777777777777,0.7837593948615454,0.2086445673338695,173.53333333333333,7.963217495146618,27.997926505466047,1.2967923228859761,5.844557221298048,0.5560646883211589,0.8996412088024413,0.6846373896939663,0.5898540574945825,0.9376412132234032,0.7216409622504705,0.07076103126989543,0.4444444444444444,4.056543242524394,23.279563429902513,0.9989242444369786,0.7596849623906567,0.8618528169049733,0.9997975751848911,0.8157316580118595,0.8976277251777955,0.0,0.26666666666666666,0.0,218.82222222222222,0.044444444444444446,0.24444444444444444,3571.8888888888887,0.0,219.48888888888888,0.0,0.0,0.0
soft_structure_refined,74014.26666666666,166506.24444444446,0.5445597531451699,0.3788735536236835,0.885533903380299,0.886312184939389,0.3989348569893875,100952.71111111112,8460.733333333334,1.4494834247152217,0.11446609661970109,0.8030354290524869,0.6726621752757301,0.6726621752757301,1.0,1.0,0.0,2337.711111111111,0.0,0.3273378247242698,757.2666666666667,2813.866666666667,0.7854866131055953,0.20929321043397586,172.0,7.973702839836732,27.96765909715396,1.2981794311837074,5.918862801604235,0.5557206385498045,0.8977543906118662,0.6838615834680409,0.5876704204746817,0.9366691009660582,0.7197428683579034,0.07052145831376927,0.4222222222222222,4.084982909462476,23.3701068990111,0.9989928943227355,0.7579515739861665,0.860738955576538,0.999810810654163,0.8144345391804486,0.8968289201610533,0.0,3565.488888888889,225.77777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tree_iterative_refined,74014.26666666666,168045.42222222223,0.541695661491651,0.37616569579759196,0.886617368959228,0.8846704758553874,0.39567445414154884,102412.33333333333,8381.177777777777,1.4707392225911087,0.11338263104077193,0.8037500099754177,0.6736392218842365,0.6736392218842365,1.0,1.0,0.0,2331.2,0.0,0.3263607781157635,757.2666666666667,2816.0666666666666,0.7844814684965046,0.20882580840838605,173.0,7.963489565045044,27.98521467677993,1.2990586779906077,5.865703188700826,0.556235380508311,0.8988544748652025,0.6845613519177758,0.5894437059679907,0.9372856986054224,0.7212556776449303,0.07103427145180623,0.4444444444444444,4.074560362944664,23.333392223203692,0.9989611407778478,0.7587203364156457,0.8612342800090491,0.9997970748846255,0.8151167471559326,0.8972457249844954,0.0,108.84444444444445,0.0,169.51111111111112,3.488888888888889,0.0,10763.866666666667,0.0,0.0,3.0,603.7333333333333,100.86666666666666
