image,method,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,fp_pixels,fn_pixels,fp_over_gt_area,fn_over_gt_area,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,terminal_fp_pixels,terminal_fn_pixels,terminal_fp_over_gt_area,terminal_fn_over_gt_area,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count,pred_to_gt_skeleton_distance_mean,pred_to_gt_skeleton_distance_p95,gt_to_pred_skeleton_distance_mean,gt_to_pred_skeleton_distance_p95,skeleton_precision_radius_3,skeleton_recall_radius_3,skeleton_distance_f1_radius_3,skeleton_precision_radius_5,skeleton_recall_radius_5,skeleton_distance_f1_radius_5,terminal_pred_to_gt_skeleton_distance_mean,terminal_pred_to_gt_skeleton_distance_p95,terminal_gt_to_pred_skeleton_distance_mean,terminal_gt_to_pred_skeleton_distance_p95,terminal_skeleton_precision_radius_3,terminal_skeleton_recall_radius_3,terminal_skeleton_distance_f1_radius_3,terminal_skeleton_precision_radius_5,terminal_skeleton_recall_radius_5,terminal_skeleton_distance_f1_radius_5,removed_far_components,removed_weak_components,kept_components,kept_terminal_components,kept_nonterminal_components,removed_direction_components,removed_short_components,branch_graph_components,soft_graph_scored_components,iterative_layers,tree_connected_components,removed_low_contrast_components
01_dr.jpg,baseline_raw,48921,180291,0.37540791930614453,0.2310782649794831,0.8794587191594612,0.8493357875661716,0.23863642666577922,137267,5897,2.8058911305983116,0.12054128084053883,0.8493956910141881,0.7382170259408111,0.7382170259408111,1.0,1.0,0,1433,0.0,0.2617829740591889,986,3514,0.6795131845841785,0.1323278315310188,316,13.19842253013878,38.3275357934736,1.163255531412613,3.605551275463989,0.4011180484971686,0.9406105457909343,0.5624026619537055,0.4297468660761822,0.9716312056737588,0.5959212207433884,0.02394413438854975,0.0,2.4943511145957293,10.63715500281133,1.0,0.8208121827411168,0.9015890716476164,1.0,0.8753807106598985,0.9335498714305048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_dr.jpg,connected_recovery_raw,48921,196473,0.3608238180232606,0.22012509819910303,0.9049692361153697,0.8329442342541097,0.22533376087299528,152201,4649,3.1111588070562743,0.09503076388463032,0.8624272651704074,0.7581293386919985,0.7581293386919985,1.0,1.0,0,1324,0.0,0.24187066130800147,986,3518,0.6835699797160243,0.13018760659465606,312,13.227183192787487,38.01315561749642,1.1787892693272868,3.605551275463989,0.39071724073815833,0.9396854764107309,0.5519401182399022,0.423302189373867,0.9710144927536232,0.5895827912912837,0.017048215086882337,0.0,2.430440932339873,10.63715500281133,1.0,0.8284263959390863,0.9061632426429761,1.0,0.8779187817258883,0.934991215029058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_dr.jpg,soft_structure_refined,48921,186257,0.3688270161324614,0.22611152819486152,0.886531346456532,0.843167277480877,0.23285030898167586,142887,5551,2.920770221377323,0.11346865354346804,0.8519295302013423,0.742053343076361,0.742053343076361,1.0,1.0,0,1412,0.0,0.257946656923639,986,3500,0.6815415821501014,0.13257142857142856,314,13.233624281280642,38.41874542459709,1.1744063706207648,3.605551275463989,0.3987230454162149,0.939377119950663,0.5598255134485356,0.4281170943259848,0.9705827937095283,0.5941561717422112,0.021095922531398848,0.0,2.488274225294826,10.63715500281133,1.0,0.8210659898477157,0.9017421602787457,1.0,0.8753807106598985,0.9335498714305048,0.0,3596.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_dr.jpg,hierarchical_terminal_refined,48921,185038,0.3692185382908971,0.22640589616707205,0.8828723860918624,0.8443087811265544,0.23341691976783147,141847,5730,2.899511457247399,0.11712761390813761,0.8502415458937198,0.7394957983193278,0.7394957983193278,1.0,1.0,0,1426,0.0,0.2605042016806723,986,3501,0.6815415821501014,0.13253356183947443,314,13.212787364498096,38.3275357934736,1.1720049912510437,3.605551275463989,0.3988630067689639,0.9394387912426765,0.5599744116120449,0.428444101847614,0.9705211224175146,0.5944594524667128,0.02320488340528548,0.0,2.489615011738425,10.63715500281133,1.0,0.8210659898477157,0.9017421602787457,1.0,0.8753807106598985,0.9335498714305048,0.0,70.0,0.0,31.0,3.0,1497.0,2176.0,0.0,0.0,0.0,0.0,0.0
01_dr.jpg,branch_graph_refined,48921,180920,0.3743805500324137,0.23030024034215302,0.8794587191594612,0.8486453973804686,0.23780676542118062,137896,5897,2.8187485946730444,0.12054128084053883,0.8493956910141881,0.7382170259408111,0.7382170259408111,1.0,1.0,0,1433,0.0,0.2617829740591889,986,3511,0.6805273833671399,0.13215608088863573,315,13.209817774351935,38.3275357934736,1.163744290986877,3.605551275463989,0.4000482916817578,0.9403021893308665,0.5612954071866924,0.4288301340094169,0.9716312056737588,0.5950392607497051,0.02394413438854975,0.0,2.4943511145957293,10.63715500281133,1.0,0.8208121827411168,0.9015890716476164,1.0,0.8753807106598985,0.9335498714305048,0.0,3245.0,0.0,22.0,0.0,9.0,2120.0,31.0,0.0,0.0,0.0,0.0
01_dr.jpg,soft_graph_score_refined,48921,188951,0.3655327234815363,0.22364028251464785,0.88867766398888,0.8403255919629362,0.23008610698011653,145476,5446,2.9736922793892195,0.11132233601111997,0.8513272479278144,0.7411399342345634,0.7411399342345634,1.0,1.0,0,1417,0.0,0.25886006576543663,986,3511,0.6906693711967545,0.1330105383081743,305,13.249057394488542,38.27531841800928,1.1763823591319134,3.605551275463989,0.39498543930676894,0.9405488744989208,0.5563363015732956,0.42538532566233395,0.9711378353376503,0.5916232481992113,0.021793948661017404,0.0,2.488422902055645,10.63715500281133,1.0,0.8210659898477157,0.9017421602787457,1.0,0.8753807106598985,0.9335498714305048,0.0,0.0,0.0,202.0,0.0,0.0,3575.0,0.0,202.0,0.0,0.0,0.0
01_dr.jpg,tree_iterative_refined,48921,188506,0.36605777775905857,0.22403348954225116,0.8882892827211218,0.8407931694178002,0.23052847124229467,145050,5465,2.9649843625436927,0.11171071727887819,0.8508449669360764,0.7404092071611253,0.7404092071611253,1.0,1.0,0,1421,0.0,0.2595907928388747,986,3509,0.6866125760649088,0.1322314049586777,309,13.225780066489174,38.27531841800928,1.1750406628104337,3.605551275463989,0.396106824925816,0.94036386062288,0.5574152087793618,0.4266112759643917,0.9711378353376503,0.5928078905158622,0.02285214971921846,0.0,2.4891843233754423,10.63715500281133,1.0,0.8210659898477157,0.9017421602787457,1.0,0.8753807106598985,0.9335498714305048,0.0,64.0,0.0,172.0,4.0,0.0,10789.0,0.0,0.0,3.0,480.0,30.0
01_g.jpg,baseline_raw,64230,144531,0.5364890951854034,0.3665767664733376,0.8718511598941304,0.9011665941033971,0.38745321072987804,88532,8231,1.3783590222637396,0.12814884010586952,0.813301282051282,0.6853477380148548,0.6853477380148548,1.0,1.0,0,3262,0.0,0.3146522619851452,1516,2345,0.7361477572559367,0.320682302771855,400,6.835421225144106,26.419689627245813,1.4523776239920763,6.4031242374328485,0.6174549413330108,0.8939304655274013,0.7304050715887194,0.6484819160517721,0.9315534200625538,0.7646608059188822,0.05181966951096926,0.0,3.249853492471911,16.55294535724685,0.9997607655502392,0.7355445988346033,0.8475380141384065,1.0,0.8023307933662035,0.890325789604576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_g.jpg,connected_recovery_raw,64230,160407,0.5173858269118623,0.34896862332983036,0.9047485598629924,0.8858021590363597,0.3622784541821741,102295,6118,1.592635839950179,0.09525144013700763,0.827129765810612,0.705218481720845,0.705218481720845,1.0,1.0,0,3056,0.0,0.294781518279155,1516,2338,0.7341688654353562,0.3186484174508127,403,6.802211489891483,26.40075756488817,1.4357551503595212,6.324555320336759,0.6175807217473884,0.8988713113639454,0.7321373589261574,0.6501661918328585,0.9319613798105254,0.7659682975087977,0.03932554986968722,0.0,3.1617184324298333,16.516631644381103,0.9997665732959851,0.7457044673539519,0.8542455104157619,1.0,0.8089048259375466,0.8943586355001238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_g.jpg,soft_structure_refined,64230,147796,0.5308971541226076,0.36137507704951716,0.8762572006850381,0.8978376145662391,0.38080868223767894,91514,7948,1.424785925579947,0.12374279931496186,0.8158766419189035,0.6890132150091637,0.6890132150091637,1.0,1.0,0,3224,0.0,0.3109867849908363,1516,2347,0.7368073878627969,0.3204090328078398,399,6.8582795905701985,26.476404589747453,1.45697050990137,6.4031242374328485,0.6158422419520444,0.8935678346403155,0.7291548230067129,0.6467053210122606,0.9302388830968678,0.7629825252455351,0.049018054176061296,0.0,3.2406527031769743,16.55294535724685,0.9997617913292044,0.7368892873151053,0.8484303645756577,1.0,0.8024802031973703,0.8904177718832891,0.0,4391.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
