image,model,edges,terminals,length,length_per_terminal,coverage_dispersion,coverage_uniformity,occupied_grid_coverage,fractal_dim,branch_angle,density_corr,terminal_density_score,matched_terminal_density_score,density_lift_over_random
01_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,0.1455457459223432,0.5641593671173131,0.5854911055776809,0.2788109143939892
01_h.jpg,Constrained,132,63,9.227697645649922,0.14647139120079242,0.030986476945471422,0.7687901693006124,0.10443037974683544,0.6363200046773245,57.048286434304565,-0.18246229458034488,0.08188990441688695,0.08581815293673252,-0.21216433848769567
01_h.jpg,Density Depth Only,122,57,8.687910842368002,0.1524194884625965,0.03729811244926618,0.8339858057205112,0.0949367088607595,0.6182918718172808,55.286176409999925,-0.17852930142611836,0.08030364231127599,0.07852870149884414,-0.2183735307245806
01_h.jpg,Density Direction Only,124,59,8.855372952043522,0.15009106698378852,0.036076302511434,0.8412935590106972,0.10126582278481013,0.6225329025871125,54.92375827864022,-0.17893298757191256,0.08584535342375599,0.0873902580190945,-0.2100157800644763
01_h.jpg,Density Survival Only,111,50,8.190803744071681,0.16381607488143363,0.049923139067903556,0.9706998581306985,0.08860759493670886,0.6052099659186575,55.82593051280772,-0.17377642221133005,0.072360518600343,0.07258506118029275,-0.22302001196704546
01_h.jpg,Density-Aware,124,59,8.855372952043522,0.15009106698378852,0.036076302511434,0.8412935590106972,0.10126582278481013,0.6225329025871125,54.92375827864022,-0.17893298757191256,0.08584535342375599,0.0873902580190945,-0.2100157800644763
02_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,-0.12325026804714383,0.12629567835952912,0.12864285209500892,-0.15943478502778452
02_h.jpg,Constrained,18,7,1.7706036419788802,0.25294337742555434,0.3281768900103507,1.8335368117931172,0.012658227848101266,0.36787072931154036,60.22044197153964,-0.07357117551034457,0.13055446698240686,0.13055446698240686,-0.18199603884083593
02_h.jpg,Density Depth Only,26,10,2.2422192283648004,0.22422192283648004,0.00503311354838426,0.1281706578688692,0.022151898734177215,0.4068234326624959,56.59398324667916,-0.10008562816309369,0.10247927482675494,0.10247927482675494,-0.22185801779664777
02_h.jpg,Density Direction Only,26,10,2.2422192283648004,0.22422192283648004,0.005407500265415287,0.13607169311635656,0.022151898734177215,0.4081353752812511,57.03148324667914,-0.08432107770441495,0.1374005934792849,0.1374005934792849,-0.1869366991441178
