alpha,max_depth,initial_length,density_weight,density_depth_weight,density_direction_weight,density_survival_weight,density_angle_span,density_horizon_weight,edges,terminals,length,occupied_grid_coverage,coverage_dispersion,terminal_density_score,matched_terminal_density_score,density_lift_over_random,search_score
0.76,6,0.26,0.6,0.75,0.5,0.05,1.0,0.5,52.86666666666667,24.6,5.6037311045358935,0.05421940928270043,0.07652335877395842,0.13621850551512407,0.1332978743757881,-0.02881381371955655,0.2058815785264771
0.76,6,0.26,0.6,0.5,0.9,0.05,1.0,1.0,51.93333333333333,23.933333333333334,5.542056450353835,0.05421940928270042,0.08051959385726552,0.13155664876208284,0.13094469175042805,-0.03345722753073153,0.20430359955246646
0.76,6,0.26,0.6,0.5,0.9,0.05,1.5,0.0,51.666666666666664,24.133333333333333,5.476702148367702,0.05168776371308016,0.05705623992530848,0.12997225193330939,0.128212974864377,-0.03550963012813806,0.19849338558798113
0.76,6,0.26,0.6,0.75,0.9,0.05,1.5,0.5,54.86666666666667,25.4,5.760733671724373,0.05548523206751055,0.04877751601837953,0.1394188278263674,0.13513705226865044,-0.02750624590881816,0.19773681863138876
0.76,6,0.26,0.6,0.5,0.7,0.05,1.5,0.5,54.266666666666666,25.266666666666666,5.720852231542102,0.05527426160337553,0.07373617859115618,0.14037742699640737,0.1366652644366555,-0.025553555349666156,0.19692034845956868
0.76,6,0.26,0.6,0.75,0.7,0.05,1.0,0.5,52.733333333333334,24.733333333333334,5.580265728895659,0.053164556962025315,0.07519470430333858,0.13558068601442913,0.13205868718324232,-0.030113308414882262,0.19632917134008074
0.76,6,0.26,0.6,0.75,0.7,0.05,1.0,1.0,52.86666666666667,24.466666666666665,5.5913531805259105,0.053164556962025336,0.07995646570772659,0.1335518699716228,0.13180441883704935,-0.03132503291390954,0.19612180843464963
0.76,6,0.26,0.6,0.5,0.5,0.05,1.0,0.0,51.733333333333334,24.333333333333332,5.5288717183986344,0.05443037974683544,0.07928303725223149,0.13338322656877818,0.12967336600011706,-0.03328937321359483,0.19592534673488063
0.76,6,0.26,0.6,0.5,0.9,0.05,1.5,1.0,54.333333333333336,25.0,5.725620059237036,0.05358649789029535,0.08323563875353143,0.1377551476354643,0.13471918020713647,-0.02866570484846184,0.19420183466891186
0.76,6,0.26,0.6,0.5,0.5,0.0,1.0,0.5,54.0,25.933333333333334,5.706113678573568,0.05822784810126582,0.07389061741119589,0.14822397836205037,0.14470867953040123,-0.015978526284981507,0.19393392846150664
0.76,6,0.26,0.6,0.75,0.9,0.05,1.5,0.0,52.2,24.333333333333332,5.504154737655809,0.0521097046413502,0.056458073207050895,0.1293604848066437,0.12744017313139244,-0.03609899962343954,0.19368925772275697
0.76,6,0.26,0.6,0.75,0.7,0.05,1.5,0.0,54.6,25.533333333333335,5.7127150467645444,0.05590717299578059,0.04965511798780214,0.1378585519048598,0.13519869755233288,-0.027099668351534937,0.19078776388069585
0.76,6,0.26,0.6,0.75,0.7,0.05,1.0,0.0,52.93333333333333,24.533333333333335,5.592300338555563,0.052953586497890295,0.08117928156342472,0.13267265856560337,0.12990002215954694,-0.03160845539622909,0.18996813118429648
0.76,6,0.26,0.6,0.5,0.5,0.0,1.5,0.5,55.333333333333336,26.266666666666666,5.8105932442610335,0.05738396624472574,0.07789354840924521,0.1542433926797321,0.15205086285613534,-0.010326822602871655,0.1898323581610292
0.76,6,0.26,0.6,0.75,0.9,0.05,1.0,1.0,52.2,23.933333333333334,5.562576524623872,0.05443037974683544,0.07930628578413519,0.12721051616752882,0.12620880144814872,-0.03793731680941607,0.1896004817779616
0.76,6,0.26,0.6,0.5,0.5,0.0,1.0,1.0,54.2,25.8,5.714696537325568,0.056118143459915615,0.07567484725623258,0.14674889768247096,0.14377489092800708,-0.0181013327609292,0.18948192016888668
0.76,6,0.26,0.6,0.75,0.5,0.05,1.5,1.0,54.93333333333333,25.733333333333334,5.760576380185259,0.057594936708860754,0.0753524635875809,0.14491177020528215,0.14021713516061723,-0.020368720297843926,0.1885312910889686
0.76,6,0.26,0.6,0.5,0.5,0.05,1.5,1.0,54.46666666666667,25.533333333333335,5.742802436265301,0.05717299578059072,0.07539412139700942,0.14037621858981333,0.13735134000920787,-0.024599702523769546,0.18737072553044515
0.76,6,0.26,0.6,0.5,0.7,0.05,1.0,0.0,51.06666666666667,24.0,5.457971211228501,0.053164556962025315,0.08008683950008758,0.12945459061440817,0.12537242418576322,-0.03608999689562272,0.18641111876433186
